1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
id,Date,Daily daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Time of daytime Land-surface Temperature observation,View zenith angle of daytime Land-surface Temperature,Daily nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Time of nighttime Land-surface Temperature observation,View zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,day clear-sky coverage,night clear-sky coverage,actual_date
1,2000/12/25,0,2,255,255,13931,81,218,12,240,243,0,3992,N\A
1,2000/12/26,0,2,255,255,14002,17,225,84,240,243,0,2268,N\A
1,2000/12/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/31,0,2,255,255,13835,81,228,112,240,243,0,2305,N\A
1,2001/01/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/05,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/06,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/07,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/08,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/09,0,2,255,255,13822,81,227,104,240,243,0,1290,N\A
1,2001/01/10,0,2,255,255,13785,81,218,11,240,243,0,3997,N\A
1,2001/01/11,0,2,255,255,13873,81,225,83,240,243,0,2000,N\A
1,2001/01/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/14,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/16,0,2,255,255,13661,81,228,111,240,243,0,2000,N\A
1,2001/01/17,0,2,255,255,13845,81,219,17,240,243,0,2000,N\A
1,2001/01/19,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/21,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/22,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/23,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/29,0,2,255,255,13605,81,223,58,240,243,0,606,N\A
1,2001/01/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/01/31,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/02/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/02/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/02/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/02/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/02/05,0,2,255,255,0,2,255,255,0,0,0,0,N\A
